arxiv_id,title,abstract,ai_rule,ai_true
2608.08295,Universality of PVDF-Li$^+$ Ion Interface Chemistry in Lead-free Perovskite Energy Storage Devices,"Electrode binders are conventionally regarded as inert structural components. Here, we show that in lead-free perovskite supercapacitors, the binder defines the optimal electrolyte composition. Across a factorial matrix of poly(vinylidene fluoride) (PVDF) loadings and LiTFSI concentrations in CsSnCl$_3$ electrodes, the capacitance optimum shifts systematically with binder content along a single linear relationship, described by the Interfacial Balance Rule ($λ+θ=1$), where $λ$ and $θ$ are the normalized lithium-supply and polymer contributions at the optimized interfacial state. The same relationship holds for hybrid MASnCl$_3$, showing that the optimum is governed by the polymer-electrolyte",gnn_potential,
2211.03075,Prediction of superconducting properties of materials based on machine learning models,"The application of superconducting materials is becoming more and more widespread. Traditionally, the discovery of new superconducting materials relies on the experience of experts and a large number of ""trial and error"" experiments, which not only increases the cost of experiments but also prolongs the period of discovering new superconducting materials. In recent years, machine learning has been increasingly applied to materials science. Based on this, this manuscript proposes the use of XGBoost model to identify superconductors; the first application of deep forest model to predict the critical temperature of superconductors; the first application of deep forest to predict the band gap of",surrogate,
2507.21222,Benchmarking a Tunable Quantum Neural Network on Trapped-Ion and Superconducting Hardware,"We implement a quantum generalization of a neural network on trapped-ion and IBM superconducting quantum computers to classify MNIST images, a common benchmark in computer vision. The network feedforward involves qubit rotations whose angles depend on the results of measurements in the previous layer. The network is trained via simulation, but inference is performed experimentally on quantum hardware. The classical-to-quantum correspondence is controlled by an interpolation parameter, $a$, which is zero in the classical limit. Increasing $a$ introduces quantum uncertainty into the measurements, which is shown to improve network performance at moderate values of the interpolation parameter. W",surrogate,
2609.02056,HyGRAIL: Cost-Aware and Evidence-Grounded Scientific Hypothesis Discovery over Knowledge Graphs,"Scientific knowledge graphs organize entities and relations extracted from scientific literature, but they remain inherently incomplete. Missing typed links in such graphs can therefore represent plausible scientific hypotheses, such as unexplored associations between materials and applications. However, scientific hypothesis discovery is challenging because true discoveries are extremely sparse among typed candidate pairs: graph neural networks (GNNs) are efficient but unreliable for ambiguous cases, while large language models (LLMs) are knowledgeable but too costly to apply exhaustively and are not naturally grounded in graph structures. We propose HyGRAIL, a cost-aware and evidence-groun",llm,
2608.25592,"A Hierarchical Synergistic Deep Learning Framework Integrating Composition, Structure, and Ionic Transport for Solid-State Electrolyte Discovery","Inorganic solid-state electrolytes must combine high room-temperature ionic conductivity, a wide electrochemical window, excellent electronic insulation, and favorable mechanical compliance. Single models struggle to support reliable multi-objective screening across vast chemical spaces because of training-data distribution mismatch, cross-property dataset heterogeneity, and scarce kinetic transport data. To overcome these limitations, we develop a hierarchical synergistic deep-learning framework that sequentially coordinates efficiency, accuracy, and reliability through four complementary modules. The in-house-developed L-G-DCNN and a multi-fidelity implementation built on DenseGNN serve as",gnn_potential,
2304.04447,Search for ambient superconductivity in the Lu-N-H system,"Motivated by the recent report of room-temperature superconductivity at near-ambient pressure in N-doped lutetium hydride by Dasenbrock et al. [Nature 615, 244 (2023)], we performed a comprehensive, detailed study of the phase diagram of the Lu-N-H system, looking for superconducting phases. We combined ab initio crystal structure prediction with ephemeral data-derived interatomic potentials to sample over 200,000 different structures. Out of the more than 150 structures predicted to be metastable within $\sim$ 50 meV from the convex hull we identify 52 viable candidates for conventional superconductivity, for which we computed their superconducting properties from Density Functional Perturb",gnn_potential,
2511.01418,Fast and Robust Remote Two-Qubit Gates on Distributed Qubits,"Distributed quantum computing offers a potential solution to the complexity of superconducting chip hardware layouts and error correction algorithms. High-quality gates between distributed chips enable the simplification of existing error correction algorithms. This article proposes and demonstrates a remote quantum geometric gate scheme via parametric modulation. Our scheme inherits the intrinsic robustness of geometric phases. Meanwhile, by employing gradient-based optimization algorithms(Adaptive Moment Estimation) from deep learning, we design control waveforms that significantly suppress population leakage. We experimentally realize the rapid remote SWAP and $\sqrt{\text{SWAP}}$ gates w",surrogate,
2504.13675,Exploring Charge Density Waves in two-dimensional NbSe2 with Machine Learning,"Niobium diselenide (NbSe$_2$) has garnered significant attention due to the coexistence of superconductivity and charge density waves (CDWs) down to the monolayer limit. However, realistic modeling of CDWs-capturing effects such as layer number, twist angle, and strain-remains challenging due to the high computational cost of first-principles methods. Here, we develop a physically informed workflow for training machine-learning interatomic potentials (MLIPs) based on the E(3)-equivariant Allegro architecture, tailored to capture the subtle structural and dynamical signatures of CDWs in mono- and bilayer NbSe$_2$.We find that while CDW lattice distortions are relatively easy to learn, modelin",gnn_potential,
2607.14875,Optimization dynamics of Transformer backflow neural quantum states for the two-dimensional Hubbard model,"Building on the multi-determinant Transformer backflow neural quantum state (NQS) ansatz and the associated multi-stage training workflow for the doped two-dimensional Hubbard model, we investigate how the optimization dynamics of the NQS depend on several key optimization and architectural hyperparameters. The workflow consists of neural-network backflow (NNB) initialization, supervised Transformer pre-training, and main energy optimization using the Moment-Adaptive ReConfiguration Heuristic (MARCH) within variational Monte Carlo. Using the doped $4\times4$ periodic Hubbard model at $U=8$ as a baseline, we examine how the update-norm threshold, Transformer width, number of determinant chann",nqs,
2502.02582,Open Materials Generation with Stochastic Interpolants,"The discovery of new materials is essential for enabling technological advancements. Computational approaches for predicting novel materials must effectively learn the manifold of stable crystal structures within an infinite design space. We introduce Open Materials Generation (OMatG), a unifying framework for the generative design and discovery of inorganic crystalline materials. OMatG employs stochastic interpolants (SI) to bridge an arbitrary base distribution to the target distribution of inorganic crystals via a broad class of tunable stochastic processes, encompassing both diffusion models and flow matching as special cases. In this work, we adapt the SI framework by integrating an equ",generative,
2606.30870,Adaptive fine-tuning of foundation models for crystal structure prediction: Discovery of high-pressure phases in the CaFeNi system,"The prediction of crystal structures is a key challenge in chemistry and materials science, but evolutionary crystal structure prediction (CSP) remains computationally expensive because it relies on repeated \textit{ab initio} relaxations and energy ranking. Machine learning interatomic potentials (MLIPs) can accelerate CSP, yet their use is limited by the need for large training sets and by the difficulty of choosing which candidate structures should be labeled by density functional theory (DFT). Here we introduce a self-consistent, foundation-model-assisted CSP workflow that combines evolutionary search with adaptive data selection and fine-tuning. Starting from a pretrained MLIP, the algo",gnn_potential,
2301.10474,Machine learning using structural representations for discovery of high temperature superconductors,"The expansiveness of compositional phase space is too vast to fully search using current theoretical tools for many emergent problems in condensed matter physics. The reliance on a deep chemical understanding is one method to identify local minima of relevance to investigate further, minimizing sample space. Utilizing machine learning methods can permit a deeper appreciation of correlations in higher order parameter space and be trained to behave as a predictive tool in the exploration of new materials. We have applied this approach in our search for new high temperature superconductors by incorporating models which can differentiate structural polymorphisms, in a pressure landscape, a criti",surrogate,
2306.03989,A machine learning potential-based generative algorithm for on-lattice crystal structure prediction,"We propose a method for crystal structure prediction based on a new structure generation algorithm and on-lattice machine learning interatomic potentials. Our algorithm generates the atomic configurations assigning atomic species to sites of the given lattice, and uses cluster expansion or low-rank potential to evaluate their energy. We demonstrate two benefits of such approach. First, our structure generation algorithm offers a ``smart'' configurational space sampling, targeting low-energy structures which significantly reduces computational costs. Second, the application of machine learning interatomic potentials significantly reduces the number of DFT calculations. We discuss how our algo",generative,
2608.24913,From Blind Edits to Verified Repair: Building Trustworthy User-Side LLM Agents for Web Accessibility,"Assistive agents that adapt web pages on the user's side, at the moment of browsing, could reach the accessibility failures that site authors leave unfixed, and large language models make such agents newly plausible. We contribute three building blocks toward that goal. The first is a complete, privacy-preserving browser agent: a Chrome extension that extracts a page's style sheets, condenses them to fit a local model's context window, asks the model for additive CSS addressing 18 metrics from WCAG and the W3C cognitive accessibility guidance, and injects the result reversibly into the live page. The second is a dual-condition protocol that measures harm as carefully as benefit, applied to s",llm,
2206.10021,Hidden-nucleons neural-network quantum states for the nuclear many-body problem,"We generalize the hidden-fermion family of neural network quantum states to encompass both continuous and discrete degrees of freedom and solve the nuclear many-body Schrödinger equation in a systematically improvable fashion. We demonstrate that adding hidden nucleons to the original Hilbert space considerably augments the expressivity of the neural-network architecture compared to the Slater-Jastrow ansatz. The benefits of explicitly encoding in the wave function point symmetries such as parity and time-reversal are also discussed. Leveraging on improved optimization methods and sampling techniques, the hidden-nucleon ansatz achieves an accuracy comparable to the numerically-exact hypersph",nqs,
2606.12811,A wrong ground-state structure of HfO$_2$ predicted by machine-learning interatomic potentials based on the PBE functional,"Machine-learning interatomic potentials (MLIPs) have become powerful tools for material simulations. Many MLIPs are trained based on density functional theory (DFT) datasets generated with the Perdew-Burke-Ernzerhof (PBE) exchange-correlation functional. Using a PBE-based MLIP for HfO2, we identify a previously unreported low-energy I41/amd structure, which is predicted to be more stable than the well-known ground-state structure, the monoclinic P21/c structure. Since experiments show clearly that HfO2 takes the P21/c structure as the ground state, this is obviously a wrong prediction. Unfortunately, the same prediction is also made by widely used PBE-based foundation models such as NequIP-O",gnn_potential,
2203.15719,Adaptive Quantum State Tomography with Active Learning,"Recently, tremendous progress has been made in the field of quantum science and technologies: different platforms for quantum simulation as well as quantum computing, ranging from superconducting qubits to neutral atoms, are starting to reach unprecedentedly large systems. In order to benchmark these systems and gain physical insights, the need for efficient tools to characterize quantum states arises. The exponential growth of the Hilbert space with system size renders a full reconstruction of the quantum state prohibitively demanding in terms of the number of necessary measurements. Here we propose and implement an efficient scheme for quantum state tomography using active learning. Based ",autonomous_exp,
2511.03032,Leveraging Discrete Function Decomposability for Scientific Design,"In the era of AI-driven science and engineering, we often want to design discrete objects in silico according to user-specified properties. For example, we may wish to design a protein to bind its target, arrange components within a circuit to minimize latency, or find materials with certain properties. Given a property predictive model, in silico design typically involves training a generative model over the design space (e.g., protein sequence space) to concentrate on designs with the desired properties. Distributional optimization$\unicode{x2013}$which can be formalized as an estimation of distribution algorithm or as reinforcement learning policy optimization$\unicode{x2013}$finds the ge",generative,
2405.03521,Optimisation challenge for superconducting adiabatic neural network implementing XOR and OR boolean functions,"In this article, we consider designs of simple analog artificial neural networks based on adiabatic Josephson cells with a sigmoid activation function. A new approach based on the gradient descent method is developed to adjust the circuit parameters, allowing efficient signal transmission between the network layers. The proposed solution is demonstrated on the example of the system implementing XOR and OR logical operations.",surrogate,
2512.07095,Hidden Structural Variants in ALD NbN Superconducting Trilayers Revealed by Atomistic Analysis,"Microscopic inhomogeneity within superconducting films is a critical bottleneck hindering the performance and scalability of quantum circuits. All-nitride Josephson Junctions (JJs) have attracted substantial attention for their potential to provide enhanced coherence times and enable higher temperature operation. However, their performance is often limited by local variations caused by polymorphism, impurities, and interface quality. This work diagnoses atomic-scale limitations preventing superconducting NbN/AlN/NbN JJs from reaching their full potential. Electrical measurements reveal suppressed critical current density and soft onset of quasiparticle current. However, inverse proportionali",surrogate,
2507.21087,Intelligent ARP Spoofing Detection using Multi-layered Machine Learning (ML) Techniques for IoT Networks,"Address Resolution Protocol (ARP) spoofing remains a critical threat to IoT networks, enabling attackers to intercept, modify, or disrupt data transmission by exploiting ARP's lack of authentication. The decentralized and resource-constrained nature of IoT environments amplifies this vulnerability, making conventional detection mechanisms ineffective at scale. This paper introduces an intelligent, multi-layered machine learning framework designed to detect ARP spoofing in real-time IoT deployments. Our approach combines feature engineering based on ARP header behavior, traffic flow analysis, and temporal packet anomalies with a hybrid detection pipeline incorporating decision trees, ensemble",surrogate,
2308.11160,Searching High Temperature Superconductors with the assistance of Graph Neural Networks,"Predicting high temperature superconductors has long been a great challenge. A major difficulty is how to predict the transition temperature Tc of superconductors. Recently, progress in material informatics has led to a number of machine learning models predicting Tc, which greatly improves the efficiency of prediction. Unfortunately, prevailing models have not shown adequate physical rationality and generalization ability to find new high temperature superconductors, yet. In this work, in order to give a trustable prediction on the unexplored materials, we built a bond-sensitive graph neural network (BSGNN), which is optimized to process the information of chemical bond and electron interac",gnn_potential,
2407.06051,Foams with 3D Spatially Programmed Mechanics Enabled by Autonomous Active Learning on Viscous Thread Printing,"Foams are versatile by nature and ubiquitous in a wide range of applications, including padding, insulation, and acoustic dampening. Previous work established that foams 3D printed via Viscous Thread Printing (VTP) can in principle combine the flexibility of 3D printing with the mechanical properties of conventional foams. However, the generality of prior work is limited due to the lack of predictable process-property relationships. In this work, we utilize a self-driving lab that combines automated experimentation with machine learning to identify a processing subspace in which dimensionally consistent materials are produced using VTP with spatially programmable mechanical properties. In ca",autonomous_exp,
2112.09083,Preparation of the SU(3) Lattice Yang-Mills Vacuum with Variational Quantum Methods,"Studying QCD and other gauge theories on quantum hardware requires the preparation of physically interesting states. The Variational Quantum Eigensolver (VQE) provides a way of performing vacuum state preparation on quantum hardware. In this work, VQE is applied to pure SU(3) lattice Yang-Mills on a single plaquette and one dimensional plaquette chains. Bayesian optimization and gradient descent were investigated for performing the classical optimization. Ansatz states for plaquette chains are constructed in a scalable manner from smaller systems using domain decomposition and a stitching procedure analogous to the Density Matrix Renormalization Group (DMRG). Small examples are performed on ",autonomous_exp,
2603.26060,ZEBRA-Prop: A Zero-Shot Embedding-Based Rapid and Accessible Regression Model for Materials Properties,"Large language models (LLMs) exhibit substantial potential across diverse scientific disciplines, including materials science. A property prediction framework, ZEBRA-Prop (Zero-Shot Embedding-Based Rapid and Accessible Regression Model for Materials Properties), is presented here as an extension of LLM-Prop. In contrast to LLM-Prop, which requires task-specific fine-tuning of the LLM, ZEBRA-Prop eliminates fine-tuning, thereby reducing computational cost and enabling rapid model training. The framework employs MatTPUSciBERT, an LLM specialized for materials science, to enhance predictive capability. Multiple textual embeddings are incorporated through a learnable weighting mechanism, which a",llm,
2606.01566,RobustModelMaker: Coupling Bootstrap Stability Selection with Leakage-Safe Nested Cross-Validation for Scientific Machine Learning,"Small-to-medium scientific datasets place machine learning pipelines under two compounding pressures. Single-run feature selection produces feature sets that change substantially under small perturbations of the training data, and any procedure that uses the same data for selection, tuning, and evaluation produces optimistically biased performance estimates. The two failure modes are routinely treated as separable, but in the regimes where scientific data live, they interact: an unstable selection inflates the variance of an already-optimistic score, and standard remedies for one rarely address the other. RobustModelMaker is a Python framework that couples bootstrap stability selection with ",surrogate,
2509.08890,Machine learning the effects of many quantum measurements,"Measurements are essential for the processing and protection of information in quantum computers. They can also induce long-range entanglement between unmeasured qubits. However, when post-measurement states depend on many non-deterministic measurement outcomes, there is a barrier to observing and using the entanglement induced by prior measurements. Here we demonstrate a new approach for detecting such measurement-induced entanglement. We create short-range entangled states of one- and two-dimensional arrays of qubits in a superconducting quantum processor, and aim to characterize the long-range entanglement induced between distant pairs of qubits when we measure all of the others. To do th",surrogate,
2205.00733,Variational solutions to fermion-to-qubit mappings in two spatial dimensions,"Through the introduction of auxiliary fermions, or an enlarged spin space, one can map local fermion Hamiltonians onto local spin Hamiltonians, at the expense of introducing a set of additional constraints. We present a variational Monte-Carlo framework to study fermionic systems through higher-dimensional (>1D) Jordan-Wigner transformations. We provide exact solutions to the parity and Gauss-law constraints that are encountered in bosonization procedures. We study the $t$-$V$ model in 2D and demonstrate how both the ground state and the low-energy excitation spectra can be retrieved in combination with neural network quantum state ansatze.",nqs,
2508.18626,Enhanced Algorithmic Perfect State Transfer on IBM Quantum Computers,"Perfect state transfer (PST) through a spin chain can be theoretically obtained via predesigned PST couplings. However, the corresponding experiment on IBM quantum computers demonstrates low transmission success probability (SP) due to noises. Using few qubits of their 127-qubit Eagle processors, we perform the simulation of algorithmic PST through an XY spin chain with PST couplings on ibm_sherbrooke and ibm_brisbane processors, alongside Qiskit simulations. The peak SP cannot reach 1 ($\sim$0.725 peak SP for N=4). We then propose a comprehensive noise model including Pauli errors, thermal relaxation ($T_1$) and dephasing ($T_2$), and ZZ crosstalk. Based on the experimental parameters provi",autonomous_exp,
2505.13494,Polymer Data Challenges in the AI Era: Bridging Gaps for Next-Generation Energy Materials,"The pursuit of advanced polymers for energy technologies, spanning photovoltaics, solid-state batteries, and hydrogen storage, is hindered by fragmented data ecosystems that fail to capture the hierarchical complexity of these materials. Polymer science lacks interoperable databases, forcing reliance on disconnected literature and legacy records riddled with unstructured formats and irreproducible testing protocols. This fragmentation stifles machine learning (ML) applications and delays the discovery of materials critical for global decarbonization. Three systemic barriers compound the challenge. First, academic-industrial data silos restrict access to proprietary industrial datasets, while",llm,
2605.07467,Physical Simulators as Do-Operators: Causal Discovery under Latent Confounders for AI-for-Science,"Existing interventional causal discovery methods -- IGSP, DCDI, ENCO -- assume causal sufficiency (no latent confounders) and rely on virtual interventions in synthetic simulators. In AI-for-Science settings such as molecular design and materials science, latent confounders are ubiquitous and real interventions (e.g., physics-based simulations) require hours to days per data point. We propose CFM-SD (Causal Flow Matching with Simulation Data), which uses first-principles physical simulators as do-operators in Pearl's interventional calculus to simultaneously handle latent confounders and real interventional data. Theoretically, $d$-variable causal structure is identifiable with $O(d)$ single",generative,
2604.03440,ARES OS 2.0: An Orchestration Software Suite for Autonomous Experimentation Systems and Self-Driving Labs,"ARES OS 2.0 (hereinafter ARES OS) is an open-source software suite to enable laboratory automation and closed-loop autonomous experimentation. Its function is to orchestrate experimental actions and data handoff between lab equipment, analysis routines, and experimental planning modules through a service-oriented architecture. ARES OS is abstracted to apply to general experimental flows common in materials science, chemistry, and biology and related disciplines. The core of ARES OS provides central control over all modules, along with the heavy lifting of UI creation, data management, and experimental design tools. ARES OS modules communicate with the core software over protobuf and gRPC, al",autonomous_exp,
2406.18807,ML-Powered FPGA-based Real-Time Quantum State Discrimination Enabling Mid-circuit Measurements,"Accurate and timely quantum state discrimination is critical for quantum computing, particularly in protocols requiring mid-circuit measurement (MCM) and conditional feed-forward. While classical state readout in transistors is near-instantaneous, identifying the state of superconducting qubits remains latency-limited and error-prone. Existing approaches rely on post-processing measurement data transferred to host computers, introducing delays on the order of milliseconds -- vastly exceeding the coherence time of quantum states, which typically last only hundreds of microseconds. To bridge this latency gap, we present an in-situ machine learning (ML) inference engine implemented on a field-p",surrogate,
2603.13834,Intelligent Materials Modelling: Large Language Models Versus Partial Least Squares Regression for Predicting Polysulfone Membrane Mechanical Performance,"Predicting the mechanical properties of polysulfone (PSF) membranes from structural descriptors remains challenging due to extreme data scarcity typical of experimental studies. To investigate this issue, this study benchmarked knowledge-driven inference using four large language models (LLMs) (DeepSeek-V3, DeepSeek-R1, ChatGPT-4o, and GPT-5) against partial least squares (PLS) regression for predicting Young's modulus (E), tensile strength (TS), and elongation at break (EL) based on pore diameter (PD), contact angle (CA), thickness (T), and porosity (P) measurements. These knowledge-driven approaches demonstrated property-specific advantages over the chemometric baseline. For EL, LLMs achie",llm,
2403.09786,Phase determination with and without deep learning,"Detection of phase transitions is a critical task in statistical physics, traditionally pursued through analytic methods and direct numerical simulations. Recently, machine-learning techniques have emerged as promising tools in this context, with a particular focus on supervised and unsupervised learning methods, along with non-learning approaches. In this work, we study the performance of unsupervised learning in detecting phase transitions in the $J_1$-$J_2$ Ising model on the square lattice. The model is chosen due to its simplicity and complexity, thus providing an understanding of the application of machine-learning techniques in both straightforward and challenging scenarios. We propos",generative,
2603.29135,Quality-Controlled Active Learning via Gaussian Processes for Robust Structure-Property Learning in Autonomous Microscopy,"Autonomous experimental systems are increasingly used in materials research to accelerate scientific discovery, but their performance is often limited by low-quality, noisy data. This issue is especially problematic in data-intensive structure-property learning tasks such as Image-to-Spectrum (Im2Spec) and Spectrum-to-Image (Spec2Im) translations, where standard active learning strategies can mistakenly prioritize poor-quality measurements. We introduce a gated active learning framework that combines curiosity-driven sampling with a physics-informed quality control filter based on the Simple Harmonic Oscillator model fits, allowing the system to automatically exclude low-fidelity data during",autonomous_exp,
2602.23728,kALDo 2.0: Scalable Thermal Transport from First Principles and Machine Learning Potentials,"We introduce kALDo2.0, an open-source Python package for computing vibrational, elastic, and thermal transport properties of solids from first principles and machine-learned interatomic potentials. Building on the anharmonic lattice dynamics (ALD) framework, kALDo2.0 provides efficient CPU and GPU-accelerated implementations of the Boltzmann transport equation (BTE) for crystals and the quasi-harmonic Green-Kubo (QHGK) method. QHGK extends thermal transport predictions beyond crystals to disordered materials, including glasses, alloys, and complex nanostructures. kALDo2.0 introduces native integration with modern machine-learned potentials (MLPs), enabling thermal transport workflows that co",gnn_potential,
2605.21912,Emerging memory technologies at room/cryogenic temperature,"As conventional technology scaling approaches physical and power limitations, modern computing systems increasingly face performance bottlenecks arising from memory latency, energy consumption, scalability constraints, and data movement overheads. Simultaneously, emerging workloads such as machine learning, graph analytics, and scientific computing demand memory technologies with higher bandwidth, lower latency, improved energy efficiency, and greater storage density. These challenges have motivated extensive research into both room-temperature memories and cryogenic memory systems targeted toward superconducting and quantum computing platforms. This chapter presents an overview of volatile ",surrogate,
